Country,Country2,Region,Happiness,GDP,Social_support,Healthy_expectancy,Freedom,Generosity,Prevent_Corruption
uganda,uganda,sub - saharan africa,low,low,low,low,low,high,low
ukraine,ukraine,commonwealth of independent states,low,medium,medium,medium,low,medium,low
united arab emirates,united arab emirates,middle east and north africa,high,high,medium,medium,high,high,high
united kingdom,united kingdom,western europe,high,high,high,high,medium,high,high
united states,united states,north america,high,high,high,high,medium,high,high
uruguay,uruguay,latin america and caribbean,high,medium,high,high,high,low,high
uzbekistan,uzbekistan,commonwealth of independent states,high,low,high,medium,high,high,high
venezuela,venezuela,latin america and caribbean,medium,medium,high,medium,low,low,low
vietnam,vietnam,southeast asia,medium,low,medium,medium,high,medium,medium
yemen,yemen,middle east and north africa,low,low,medium,low,low,low,medium
zambia,zambia,sub - saharan africa,low,low,low,low,medium,high,medium
zimbabwe,zimbabwe,sub - saharan africa,low,low,low,low,low,medium,medium
